id,file,duration_seconds,start_seconds,end_seconds,label,title,subtitle
"01","01-agent-not-chat-entry.png","15","0","15","Hook","Agent 不是 多一个聊天入口","它应该是长期运行的个人 Runtime"
"02","02-openclaw-vs-hermes.png","22","15","37","Position","OpenClaw 到达用户 Hermes 长期成长","Gateway 解决入口，Runtime 解决能力积累"
"03","03-long-running-runtime.png","20","37","57","Runtime","Hermes = Long-running Agent Runtime","Memory + Skills + Gateway + Tools + Backends"
"04","04-ability-system.png","20","57","77","Thesis","Agent 能力 不只来自模型","模型、记忆、技能、工具、入口和轨迹共同组成系统"
"05","05-six-components.png","22","77","99","Six Parts","六大组件 构成长运行 Agent","大脑 / 记忆 / 小脑 / 工具 / 执行 / 环境"
"06","06-brain-core.png","20","99","119","Brain","大脑中枢 LLM + Prompt + Provider","理解意图、生成推理、选择工具"
"07","07-memory-system.png","20","119","139","Memory","记忆系统 让 Agent 连续存在","Memory / User Profile / Session Search / Skills / Profiles"
"08","08-tool-runtime.png","20","139","159","Tools","工具中心 决定 Agent 能做什么","Tool Registry / Toolsets / MCP / Plugins / Skills"
"09","09-action-engine.png","20","159","179","Execution","执行引擎 把工具调用变成真实动作","校验参数、调度后端、回传结果、处理失败"
"10","10-task-data-flow.png","22","179","201","Flow","一次任务 不是 Prompt -> Answer","入口 -> 上下文 -> 工具 -> 观察 -> 回流"
"11","11-prompt-system.png","22","201","223","Context","Prompt System 稳定上下文而不是动态拼贴","稳定前缀 / 按需召回 / 本轮运行态"
"12","12-skills-memory.png","22","223","245","Skills","Skills 把经验变成程序性记忆","Memory = 知道什么，Skill = 下次怎么做"
"13","13-gateway-toolsets.png","20","245","265","Gateway","Gateway + Toolsets 长期在线但不能无限授权","多入口接入，能力按 profile 和任务分组"
"14","14-learning-risk.png","20","265","285","Risk","自我进化 必须被验证约束","错误经验、隐私泄露、跨 profile 串线、高风险授权"
"15","15-minimum-architecture.png","22","285","307","MVP","自研 Agent 最小可行架构","统一入口 / 稳定上下文 / 受控工具 / 可审计执行 / 学习闭环"
"16","16-runtime-loop.png","18","307","325","Takeaway","真正的 Agent 能力 来自模型 + Runtime + 轨迹闭环","长期运行，持续沉淀，受验证约束"
